sample_id,suggested_parent,suggested_confidence,source_file,priority_score,approved_parent,label_status,reviewer_note
SYN_00905,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00009,TE,0.852,sasang_predictions_from_btrack_eval_full_mapped_latest.jsonl,0.8816,,PENDING_HUMAN_LABEL,
SYN_00006,TE,0.848,sasang_predictions_from_btrack_eval_full_mapped_latest.jsonl,0.8784,,PENDING_HUMAN_LABEL,
SYN_00178,SY,0.902201,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.871761,,PENDING_HUMAN_LABEL,
SYN_00353,SY,0.902201,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.871761,,PENDING_HUMAN_LABEL,
SYN_00470,SY,0.902201,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.871761,,PENDING_HUMAN_LABEL,
SYN_00588,SY,0.902201,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.871761,,PENDING_HUMAN_LABEL,
SYN_00949,SY,0.902201,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.871761,,PENDING_HUMAN_LABEL,
SYN_00010,SE,0.836,sasang_predictions_from_btrack_eval_full_mapped_latest.jsonl,0.8688,,PENDING_HUMAN_LABEL,
SYN_00045,TY,0.889818,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.861854,,PENDING_HUMAN_LABEL,
SYN_00472,TY,0.889818,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.861854,,PENDING_HUMAN_LABEL,
SYN_00677,TY,0.889818,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.861854,,PENDING_HUMAN_LABEL,
ENTRY_09_obs1,SE,0.94,sasang_predictions_from_btrack_eval_full_latest.jsonl,0.852,,PENDING_HUMAN_LABEL,
SYN_00065,TY,0.859616,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.837693,,PENDING_HUMAN_LABEL,
SYN_00281,TY,0.859616,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.837693,,PENDING_HUMAN_LABEL,
SYN_00532,TY,0.859616,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.837693,,PENDING_HUMAN_LABEL,
SYN_00778,TY,0.859616,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.837693,,PENDING_HUMAN_LABEL,
SYN_00917,TY,0.859616,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.837693,,PENDING_HUMAN_LABEL,
