sample_id,suggested_parent,suggested_confidence,source_file,priority_score,approved_parent,label_status,reviewer_note
SYN_00497,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00626,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00792,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00880,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00016,TE,0.856,sasang_predictions_from_btrack_eval_full_mapped_latest.jsonl,0.8848,,PENDING_HUMAN_LABEL,
SYN_00042,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00154,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00307,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00511,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00634,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00767,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00998,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00014,SE,0.852,sasang_predictions_from_btrack_eval_full_mapped_latest.jsonl,0.8816,,PENDING_HUMAN_LABEL,
SYN_00013,SE,0.848,sasang_predictions_from_btrack_eval_full_mapped_latest.jsonl,0.8784,,PENDING_HUMAN_LABEL,
SYN_00229,SY,0.902201,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.871761,,PENDING_HUMAN_LABEL,
SYN_00356,SY,0.902201,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.871761,,PENDING_HUMAN_LABEL,
SYN_00482,SY,0.902201,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.871761,,PENDING_HUMAN_LABEL,
SYN_00822,SY,0.902201,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.871761,,PENDING_HUMAN_LABEL,
SYN_00957,SY,0.902201,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.871761,,PENDING_HUMAN_LABEL,
SYN_00011,SE,0.836,sasang_predictions_from_btrack_eval_full_mapped_latest.jsonl,0.8688,,PENDING_HUMAN_LABEL,
SYN_00243,TY,0.889818,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.861854,,PENDING_HUMAN_LABEL,
SYN_00498,TY,0.889818,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.861854,,PENDING_HUMAN_LABEL,
SYN_00733,TY,0.889818,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.861854,,PENDING_HUMAN_LABEL,
ENTRY_08_obs3,SE,0.932,sasang_predictions_from_btrack_eval_full_latest.jsonl,0.8456,,PENDING_HUMAN_LABEL,
SYN_00190,TY,0.859616,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.837693,,PENDING_HUMAN_LABEL,
SYN_00362,TY,0.859616,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.837693,,PENDING_HUMAN_LABEL,
SYN_00619,TY,0.859616,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.837693,,PENDING_HUMAN_LABEL,
SYN_00814,TY,0.859616,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.837693,,PENDING_HUMAN_LABEL,
SYN_00945,TY,0.859616,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.837693,,PENDING_HUMAN_LABEL,
