sample_id,y_true,y_pred_baseline,y_pred_treatment
BR_00023::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00024::B,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00025::B,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00026::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00027::B,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00028::B,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00029::B,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00030::B,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00031::B,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00032::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00033::B,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00034::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00035::B,DOWN_STRONG,DOWN_STRONG,NEUTRAL
BR_00036::B,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00037::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00038::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00039::B,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00040::B,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00041::B,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00042::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00043::B,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00044::B,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00045::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00046::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00047::B,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00048::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00049::B,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00050::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00051::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00052::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00053::B,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00054::B,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00055::B,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00056::B,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00057::B,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00058::B,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00059::B,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00060::B,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00001::C,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00002::C,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00003::C,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00004::C,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00005::C,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00006::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00007::C,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00008::C,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00009::C,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00010::C,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00011::C,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00012::C,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00013::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00014::C,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00015::C,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00016::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00017::C,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00018::C,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00019::C,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00020::C,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00021::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00022::C,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00023::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00024::C,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00025::C,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00026::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00027::C,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00028::C,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00029::C,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00030::C,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00031::C,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00032::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00033::C,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00034::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00035::C,DOWN_STRONG,DOWN_STRONG,NEUTRAL
BR_00036::C,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00037::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00038::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00039::C,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00040::C,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00041::C,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00042::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00043::C,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00044::C,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00045::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00046::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00047::C,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00048::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00049::C,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00050::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00051::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00052::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00053::C,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00054::C,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00055::C,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00056::C,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00057::C,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00058::C,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00059::C,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00060::C,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00001::D,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00002::D,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00003::D,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00004::D,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00005::D,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00006::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00007::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00008::D,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00009::D,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00010::D,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00011::D,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00012::D,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00013::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00014::D,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00015::D,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00016::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00017::D,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00018::D,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00019::D,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00020::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00021::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00022::D,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00023::D,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00024::D,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00025::D,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00026::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00027::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00028::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00029::D,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00030::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00031::D,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00032::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00033::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00034::D,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00035::D,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00036::D,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00037::D,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00038::D,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00039::D,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00040::D,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00041::D,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00042::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00043::D,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00044::D,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00045::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00046::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00047::D,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00048::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00049::D,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00050::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00051::D,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00052::D,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00053::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00054::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00055::D,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00056::D,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00057::D,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00058::D,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00059::D,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00060::D,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00001::DS,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00002::DS,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00003::DS,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00004::DS,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00005::DS,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00006::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00007::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00008::DS,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00009::DS,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00010::DS,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00011::DS,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00012::DS,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00013::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00014::DS,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00015::DS,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00016::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00017::DS,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00018::DS,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00019::DS,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00020::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00021::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00022::DS,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00023::DS,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00024::DS,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00025::DS,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00026::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00027::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00028::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00029::DS,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00030::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00031::DS,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00032::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00033::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00034::DS,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00035::DS,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00036::DS,NEUTRAL,DOWN_STRONG,DOWN_STRONG
BR_00037::DS,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00038::DS,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00039::DS,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00040::DS,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00041::DS,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00042::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00043::DS,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00044::DS,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00045::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00046::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00047::DS,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00048::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00049::DS,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00050::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00051::DS,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00052::DS,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00053::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00054::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00055::DS,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00056::DS,NEUTRAL,DOWN_STRONG,UP_STRONG
BR_00057::DS,UP_STRONG,DOWN_STRONG,UP_STRONG
BR_00058::DS,DOWN_STRONG,DOWN_STRONG,UP_STRONG
BR_00059::DS,UP_STRONG,DOWN_STRONG,DOWN_STRONG
BR_00060::DS,DOWN_STRONG,DOWN_STRONG,DOWN_STRONG
